Date,Dollar Index DXY,USD/VND - VCB (sell),USD/VND - NHNN (sell),EUR/VND - VCB (sell),EUR/VND - NHNN (sell),CNY/VND - VCB (sell),CNY/VND - NHNN (sell)
10/6/2023,106.165,24550,25227,26389.42,26648,3410.21,3298.86
10/7/2023,105.84,24550,25227,26389.42,26648,3410.21,3298.86
10/8/2023,105.84,24550,25227,26389.42,26648,3410.21,3298.86
10/9/2023,105.977,24545,25227,26471.7,26648,3409.51,3298.86
10/10/2023,106.097,24550.0,25222.0,26386.92,26723.0,3418.08,3298.86
10/11/2023,105.552,24585.0,25216.0,26512.19,26716.0,3417.17,3298.86
10/12/2023,105.587,24605.0,25218.0,26612.16,26810.0,3418.98,3299.15
10/13/2023,106.219,24615.0,25230.0,26484.85,26646.0,3417.19,3299.15
10/14/2023,106.45,24615.0,25230.0,26484.85,26646.0,3417.19,3299.15
10/15/2023,106.45,24615.0,25230.0,26484.85,26646.0,3417.19,3299.15
10/15/2023,106.45,24615.0,25230.0,26484.85,26646.0,3417.19,3299.15
10/15/2023,106.45,24615.0,25230.0,26484.85,26646.0,3417.19,3299.15
10/15/2023,106.45,24615.0,25230.0,26484.85,26646.0,3417.19,3299.15
10/15/2023,106.45,24615.0,25230.0,26484.85,26646.0,3417.19,3299.15
10/15/2023,106.45,24615.0,25230.0,26484.85,26646.0,3417.19,3299.15
10/15/2023,106.45,24615.0,25230.0,26484.85,26646.0,3417.19,3299.15
10/16/2023,106.182,24630.0,25243.0,26448.29,26602.0,3417.79,3299.15
10/17/2023,106.097,24630.0,25243.0,26448.29,26602.0,3417.79,3299.15
10/17/2023,105.972,24668.0,25247.0,26551.56,26709.0,3419.77,3299.15
10/18/2023,106.184,24690.0,25250.0,26664.33,26725.0,3425.04,3299.15
10/19/2023,106.1,24710.0,25255.0,26580.12,26674.0,3425.02,3298.65
