date,qua_dem,1_tuan,2_tuan,1_thang,3_thang,6_thang,9_thang,12_thang,qua_dem,1_tuan,2_tuan,1_thang,3_thang,6_thang,9_thang,12_thang
10/09/2023,1.14,1.33,1.63,3.3,3.49,5.23,6.55,,210692.0,19565.0,1747.0,1585.0,2839.0,66.0,308.0,
10/10/2023,1.14,1.33,1.63,3.3,3.49,5.23,6.55,,210692.0,19565.0,1747.0,1585.0,2839.0,66.0,308.0,
10/11/2023,0.66,0.9,1.4,1.75,3.64,5.06,7.1,,210254.0,15689.0,3252.0,5432.0,4373.0,84.0,4.0,

10/12/2023,0.66,0.9,1.4,1.75,3.64,5.06,7.1,,210254.0,15689.0,3252.0,5432.0,4373.0,84.0,4.0,
10/13/2023,0.37,0.58,0.82,1.58,3.48,4.39,6.61,,215319.0,12068.0,4350.0,7992.0,3957.0,99.0,8.0,
10/14/2023,0.37,0.58,0.82,1.58,3.48,4.39,6.61,,215319.0,12068.0,4350.0,7992.0,3957.0,99.0,8.0,
10/15/2023,0.37,0.58,0.82,1.58,3.48,4.39,6.61,,215319.0,12068.0,4350.0,7992.0,3957.0,99.0,8.0,
10/15/2023,0.37,0.58,0.82,1.58,3.48,4.39,6.61,,215319.0,12068.0,4350.0,7992.0,3957.0,99.0,8.0,
10/15/2023,0.37,0.58,0.82,1.58,3.48,4.39,6.61,,215319.0,12068.0,4350.0,7992.0,3957.0,99.0,8.0,
10/15/2023,0.37,0.58,0.82,1.58,3.48,4.39,6.61,,215319.0,12068.0,4350.0,7992.0,3957.0,99.0,8.0,
10/15/2023,0.37,0.58,0.82,1.58,3.48,4.39,6.61,,215319.0,12068.0,4350.0,7992.0,3957.0,99.0,8.0,
10/15/2023,0.37,0.58,0.82,1.58,3.48,4.39,6.61,,215319.0,12068.0,4350.0,7992.0,3957.0,99.0,8.0,
10/15/2023,0.37,0.58,0.82,1.58,3.48,4.39,6.61,,215319.0,12068.0,4350.0,7992.0,3957.0,99.0,8.0,
10/16/2023,0.35,0.55,0.75,1.61,3.38,5.81,6.61,,227452.0,13875.0,3349.0,3132.0,3161.0,688.0,8.0,
10/17/2023,0.35,0.55,0.75,1.61,3.38,5.81,6.61,,227452.0,13875.0,3349.0,3132.0,3161.0,688.0,8.0,
10/17/2023,0.71,0.83,0.97,1.44,3.26,5.74,7.24,,227688.0,11435.0,3470.0,2957.0,3335.0,463.0,8.0,
10/18/2023,0.76,0.99,1.15,1.54,3.31,5.58,6.52,,216862.0,13760.0,2700.0,4540.0,4252.0,69.0,3.0,
10/19/2023,0.78,1.04,1.24,1.48,3.4,5.49,6.66,,215644.0,11694.0,2809.0,7220.0,4246.0,95.0,4.0,
10/23/2023,1.47,1.64,1.66,1.86,3.49,5.37,6.71,,216346.0,13772.0,3203.0,5545.0,2962.0,43.0,13.0,
10/24/2023,1.47,1.64,1.66,1.86,3.49,5.37,6.71,,216346.0,13772.0,3203.0,5545.0,2962.0,43.0,13.0,
10/25/2023,2.22,2.47,2.12,2.4,4.05,5.6,6.68,,236935.0,9595.0,6740.0,7565.0,645.0,220.0,6.0,
